sample_title,core,covered_points,created_at,director_voice,empty_words_detected,genre,missed_points,sample_id,scene_tag,shot_type,source_cut,teaching_note,tier,updated_at,usable_for_fewshot,word_count
中·校园天台对谈机位,camera_directing_core,景别/焦段/机位高度/机位运动/构图/画幅/交班（OTS 反打）,2026年4月22日 18:22,新海诚系,（无明显空话）,"日系, 治愈",光学特性具体 T 值/进出画方向/180° 轴判定,GS-19,"室外, 对话, 日景, 校园",MS,,中档：给出了焦段、机位高度、轨道位移量，也给了交班的 OTS 反打。但光圈/T 值缺失，进出画方向与 180° 轴判定未明确——若后续拍反打时判断跨轴会直接穿帮。,中,2026年4月22日 18:22,Yes,88
差·校园走廊声音,audio_directing_core,"音乐类型（仅说""青春校园感""）1/11",2026年4月22日 18:26,通用,点点的/自然就行/感觉就像,治愈,对白/声场层次/声音空间/同步点/音量动态/静默点/频率 EQ/过渡/音画反差/声效具体,GS-25,"室内, 校园",MS,,"声音维度导演级反例：11 个声音要素射中 1 个。""日剧那种""是品味词，黑名单命中。",差,2026年4月22日 18:26,No,50
好·海边黄昏对坐声音,audio_directing_core,对白/声场层次/声音空间/同步点/音量动态/静默点/频率/过渡/声效（9/11）,2026年4月22日 18:26,新海诚系,（无）,"日系, 治愈",音乐类型（留白无 BGM，这是设计抗衣）/音画反差策略未明确,GS-29,"室外, 对话, 日景, 海边",MLS,,好档：用环境音承载情绪（无 BGM）是确定选择而非遗漏。同步点设在第 3.8 秒呼吸节点前的 0.6 秒静默——问繁量尽作用。,好,2026年4月22日 18:26,Yes,162
差·夜雨街角声音,audio_directing_core,"声效（仅""雨声""）/频率（""低音""） 2/11",2026年4月22日 18:26,通用,电影感/氛围要够/压抑的低音,写实,对白/声场层次/声音空间/同步点/音量动态/静默点/过渡/音画反差/音乐具体,GS-26,"城市, 夜景, 雨",MS,,"""电影感""“压抑的低音""又是品味词。被空话词表命中。",差,2026年4月22日 18:26,No,42
中·校园天台对谈声音,audio_directing_core,对白/音乐类型/声场/音量/声效 5/11,2026年4月22日 18:26,新海诚系,（无明显空话）,"日系, 治愈",声音空间混响/同步点/静默点/EQ/过渡/音画反差,GS-27,"室外, 对话, 日景, 校园",MS,,中档：给了 BGM 乐器、-18dB 铺底、前景对白、远景广播。但混响、同步点、静默留白未给——混音师可用但需补完。,中,2026年4月22日 18:26,Yes,92
好·山林清晨追逐声音,audio_directing_core,声效/BGM/声场/动态曲线/同步点/对白/频率（9/11）,2026年4月22日 18:26,宫崎骏系,（无）,"动画, 日系",空间混响/静默点/过渡/音画反差,GS-30,"奔跑, 室外, 山林, 日景",MS,,好档：BGM 120 BPM 与奔跑步频 2:1 锁定是动画级精确。第 5.2 秒从 -20dB 突入主旋律到 -8dB 是动态曲线写法的标杆。,好,2026年4月22日 18:26,Yes,165
中·咖啡馆独坐声音,audio_directing_core,声效/音乐/声场/声音空间/音量/对白（6/11）,2026年4月22日 18:26,通用,（无）,写实,同步点/静默点/EQ 具体/过渡/音画反差,GS-28,"城市, 室内, 日景, 独白",MCU,,中档：给了咖啡店层次丰富的环境声与内心 VO 处理方式，但同步点与静默规划缺位。,中,2026年4月22日 18:26,Yes,88
优·图书馆阳光相遇声音,audio_directing_core,对白/音乐/声效/声场层次/声音空间/同步点/动态/静默/频率/过渡/音画反差（11/11）,2026年4月22日 18:26,新海诚系,（无）,"日系, 治愈",（无）,GS-32,"室内, 日景, 校园, 相遇",MS,,优档：“画面最满时声音最稀，以缺席承载情绪密度”——与雨中告别相反的音画反差策略，证明策略本身即变量。钢琴戏然而止的 1.5 秒真空是情绪生产力的峰值。,优,2026年4月22日 18:26,Yes,325
优·雨中告别声音层,audio_directing_core,对白/音乐/声效/声场层次/声音空间/同步点/音量动态/静默点/频率EQ/过渡/音画反差（11/11）,2026年4月22日 18:26,新海诚系,（无）,"日系, 治愈",（无）,GS-31,"城市, 夜景, 室外, 离别, 雨",MCU,,优档标杆：四层声场给 Hz 区间与 dB 值；三个同步点各有情绪目的；音画反差明确：画面最静时声音最满，让耳朵接管叙事。,优,2026年4月22日 18:26,Yes,330
中·咖啡馆连续性锁,continuity_lock_core,光线/色温/身份锚/道具/脏污 5/11,2026年4月22日 18:32,通用,（无）,写实,轴线/情绪桥/时长/画框/音画/违反清单,GS-36,"城市, 室内, 日景, 独白",MCU,,中档：给了脏污的时间推进（一小时独坐后蛋糕吃剩 1/3）这是键点，但轴线与画框连续未规则化。,中,2026年4月22日 18:32,Yes,100
优·雨中告别连续性锁（全 11 点）,continuity_lock_core,轴线/光线方向链/色温链/身份锚/道具/脏污链/情绪桥/时长/画框/音画桥接/违反清单 11/11,2026年4月22日 18:32,新海诚系,（无）,"日系, 治愈",（无）,GS-39,"城市, 夜景, 室外, 离别, 雨",MCU,,"优档标杆：违反清单写了 4 条，每条都可被机器或人工检查（伞柄侧、车票长度、睹毛水滴数、单光源）。这就是 ""机器可验证的连续性锁""。",优,2026年4月22日 18:32,Yes,430
中·校园天台连续性锁,continuity_lock_core,轴线/光线方向/色温 K 值/身份锚/道具位置 5/11,2026年4月22日 18:32,新海诚系,（无明显空话）,"日系, 治愈",脏污/情绪桥/时长/画框/音画/违反清单,GS-35,"室外, 对话, 日景, 校园",MS,,中档：给了轴线、光入射角、K 值与道具位置，但情绪桥与违反清单缺位——后者是连续性锁库真正的价值所在。,中,2026年4月22日 18:32,Yes,98
差·夜雨街角连续性,continuity_lock_core,"脏污湿度（""下雨别时有时无""）/轴线（模糊提醒） 2/11",2026年4月22日 18:32,通用,连戏的时候注意/别穿帮/别跳轴/就这样,写实,光线/色温/身份/道具/情绪桥/时长/画框/音画/违反清单,GS-34,"城市, 夜景, 雨",MS,,"反例：""别穿帮""""别跳轴""是结果性话语，不是连续性锁。真正的锁是给出轴线公式、穿帮检查项。",差,2026年4月22日 18:32,No,30
好·海边黄昏连续性锁,continuity_lock_core,轴线/光线方向/色温链/身份锚/道具/情绪桥/违反清单 7/11,2026年4月22日 18:32,新海诚系,（无）,"日系, 治愈",脏污渐进/时长/画框/音画桥接,GS-37,"室外, 对话, 日景, 海边",MLS,,好档：明确写了“色温渐变允许”的除外规则，与违反清单（太阳不能穿过两人之间）——这种“提前冒白否则穿帮”的写法是连续性锁库的核心功能。,好,2026年4月22日 18:32,Yes,220
优·图书馆阳光相遇连续性锁（全 11 点）,continuity_lock_core,轴线/光线/色温/身份锚/道具/脏污/情绪桥/时长/画框/音画/违反清单 11/11,2026年4月22日 18:32,新海诚系,（无）,"日系, 治愈",（无）,GS-40,"室内, 日景, 校园, 相遇",MS,,"优档：""右手食指有一道淡粉色纸割伤（第三集遗留）""是跨集身份锚的教材写法——单条锚同时提供角色连续性与叙事线索双重价值。",优,2026年4月22日 18:32,Yes,448
差·校园走廊连续性,continuity_lock_core,"身份锚（仅""服装发型""模糊）/光线（模糊） 2/11",2026年4月22日 18:32,通用,尽量/别换/差不多就行/看情况,治愈,轴线/色温 K 值/道具/脏污/情绪桥/时长/画框/音画/违反清单,GS-33,"室内, 校园",MS,,"反例：连续性锚自己写成模糊语。""看情况""=竹筝完全丢。",差,2026年4月22日 18:32,No,32
好·山林清晨连续性锁,continuity_lock_core,轴线/光线/色温/身份锚/道具/脏污/情绪桥/时长/违反清单 9/11,2026年4月22日 18:32,宫崎骏系,（无）,"动画, 日系",画框连续细节/音画桥接,GS-38,"奔跑, 室外, 山林, 日景",MS,,好档：重点在于“时长一致性”——掉水壶动作在 MS 和 CU 两个景别中都需 0.5 秒，这是动画剪辑的黑魔法。,好,2026年4月22日 18:32,Yes,245
